supplier_id,company_name,contact_name,contact_title,country,phone
1,Exotic Liquids,Contact 1,Marketing Manager,UK,+1-750-3549665
2,New Orleans Cajun Delights,Contact 2,Sales Manager,USA,+1-958-9334282
3,Grandma Kelly's Homestead,Contact 3,Sales Manager,USA,+1-813-5296641
4,Tokyo Traders,Contact 4,Sales Manager,Japan,+1-237-4545170
5,Cooperativa de Quesos,Contact 5,Marketing Manager,Spain,+1-981-2511936
6,Mayumi's,Contact 6,Marketing Manager,Japan,+1-644-5568669
7,Pavlova Ltd.,Contact 7,Marketing Manager,Australia,+1-221-1069436
8,Specialty Biscuits Ltd.,Contact 8,Sales Manager,UK,+1-316-8063685
9,PB Knackebrod AB,Contact 9,Owner,Sweden,+1-282-5930317
10,Refrescos Americanas,Contact 10,Owner,Brazil,+1-527-2014167
